epoch,loss,lr 0,val_loss
0,0.06717814261656861,0.24388230925431273,0.04537794929452965
1,0.032192203981733794,0.22612807921189657,0.03616355778997824
2,0.02682707277544313,0.19847521761029768,0.033881883362210596
3,0.024186818837265537,0.16363057921189655,0.030765194970733507
4,0.02235603424259446,0.125005,0.029338603504838193
5,0.021190453528664832,0.08637942078810346,0.02760481370840584
6,0.020216449682424434,0.051534782389702334,0.027363351084050396
7,0.01960870063773966,0.023881920788103455,0.026771861609266583
0,0.060998484005910215,0.24388230925431273,0.047494087646949915
1,0.03336279762853123,0.22612807921189657,0.03937854639665593
0,0.05857506652062518,0.24388230925431273,0.044546745280895444
0,0.06078573143437653,0.1951058963469339,0.05137707635834627
0,0.06461903072794609,0.1951058963469339,0.048867732806693286
1,0.03286304056174137,0.18090265435252287,0.039641652795070426
0,0.0725994342430634,0.1951058963469339,0.050645533949136734
0,0.05901574324507056,0.1951058963469339,0.04871959813366507
1,0.03302982019266714,0.18090265435252287,0.039485714553932
2,0.02824246933331026,0.15878058630298586,0.03599000558201363
3,0.025323316852788,0.13090515435252287,0.033319896820960496
4,0.0235411093505316,0.100005,0.03137745518246642
5,0.022207432703743146,0.06910484564747714,0.029861951664907675
6,0.02123080787660424,0.04122941369701416,0.029349800259655254
7,0.020640644814781967,0.01910734564747714,0.02867634180106427
8,0.020656338750239325,0.004904103653066122,0.028622351610043697
9,0.02034882962969797,1e-05,0.028508056192066603
10,0.02314709047183543,0.1987688956178108,0.03006364271843671
11,0.021737813928545114,0.1951058963469339,0.029362741593002083
12,0.020710902960593518,0.18910119738621584,0.028279209021766883
13,0.019997651202362837,0.18090265435252287,0.030875221888843618
14,0.019408524992792213,0.17071214258474882,0.026955244681818823
15,0.018722207953169496,0.15878058630298586,0.025804366777068065
16,0.018292195701111492,0.14540178002145598,0.025713219453680543
0,0.07251185692128945,0.24388230925431273,0.060220838884388714
0,0.07122514571784144,0.24388230925431273,0.06068584366592386
0,0.06555280163760399,0.1951058963469339,0.054136014490056214
0,0.0546348095020632,0.1951058963469339,0.045901840896417676
0,0.06019210661838815,0.1951058963469339,0.05283913530056316
0,0.06026721311070991,0.1951058963469339,0.047003374748545095
0,0.06793965317209892,0.1951058963469339,0.06002283606334517
0,0.062479009676068724,0.1951058963469339,0.047965003432998636
1,0.03464234021377821,0.18090265435252287,0.04000504839784487
2,0.029001132098097737,0.15878058630298586,0.03583006595175463
3,0.02664548732352712,0.13090515435252287,0.033787628561444114
4,0.02571125849400743,0.100005,0.03732979116018425
5,0.024960916862510566,0.06910484564747714,0.031802982742203736
6,0.02323338305979868,0.04122941369701416,0.03146461626872458
7,0.022825974169685397,0.01910734564747714,0.030234820560141096
8,0.022473272009817667,0.004904103653066122,0.030264296413322636
9,0.022154016080513546,1e-05,0.03036067185184902
10,0.024447390183410377,0.1987688956178108,0.032264960790401385
11,0.023341037482765822,0.1951058963469339,0.03096292644014531
12,0.0226094898625441,0.18910119738621584,0.029307091678318537
13,0.021660939300822656,0.18090265435252287,0.02804696174835475
14,0.02092040677731269,0.17071214258474882,0.029349381666156717
15,0.020263283635084315,0.15878058630298586,0.027506022693175924
16,0.019847596375785297,0.14540178002145598,0.02695417519835314
17,0.019339099013094985,0.13090515435252287,0.026664905041047463
18,0.01909609668148663,0.11564766433169789,0.026251301383065462
19,0.01851193716260682,0.100005,0.025583343046190136
20,0.018341822344562244,0.08436233566830209,0.025735009266551295
21,0.017982777801537238,0.06910484564747714,0.025012792016093868
22,0.017667965384887106,0.05460821997854402,0.024885820540741198
23,0.017314726742064933,0.04122941369701416,0.024738367061662554
24,0.017239500702578462,0.029297857415251188,0.024439224183670897
25,0.017380717053291608,0.01910734564747714,0.024487745746078336
26,0.01704843837266596,0.010908802613784163,0.024316406713571038
27,0.017148007347598127,0.004904103653066122,0.0241388588507388
28,0.016921545549812556,0.0012411043821892098,0.0243688815243152
29,0.016957891686042875,1e-05,0.02416248391719159
30,0.018873276449492406,0.19969174878664414,0.025818354958793765
31,0.018621441802981486,0.1987688956178108,0.02567196661546046
32,0.018288630284245228,0.19723713019016567,0.024607112022706695
33,0.017837267676894353,0.1951058963469339,0.02469668798659582
34,0.018066894613590054,0.19238833385346613,0.024378095268088387
35,0.017324456307987537,0.18910119738621584,0.02431962063577853
36,0.017368146985076195,0.18526475323458746,0.02388560479771615
37,0.01715304186827568,0.18090265435252287,0.0234981606949
38,0.016802005378523242,0.17604179453017513,0.024057635480068864
